Probe_Set_ID;Transcript_ID;Gene_Title;Gene_Symbol;SOM_cluster;Expression_pattern;Develoment_relation
222659_at;Hs.13109.0;importin 11;IPO11;c3;DOWN;D
222610_s_at;Hs.14928.0;S100P binding protein;S100PBP;c3;DOWN;
222541_at;Hs.20509.0;remodeling and spacing factor 1;RSF1;c3;DOWN;
222387_s_at;Hs.264190.0;vacuolar protein sorting 35 homolog (S. cerevisiae);VPS35;c3;DOWN;
222192_s_at;Hs.63300.1;chromosome 2 open reading frame 43;C2orf43;c3;DOWN;
222052_at;Hs.59839.0;chromosome 19 open reading frame 54;C19orf54;c3;DOWN;
221761_at;Hs.90011.0;adenylosuccinate synthase;ADSS;c3;DOWN;
221586_s_at;g758415;E2F transcription factor 5, p130-binding;E2F5;c3;DOWN;D
221436_s_at;g13876383;cell division cycle associated 3;CDCA3;c3;DOWN;
221258_s_at;g13654289;kinesin family member 18A;KIF18A;c3;DOWN;
220987_s_at;g13569921;chromosome 11 open reading frame 17 /// ;C11orf17 /// ;c3;DOWN;D
;;NUAK family, SNF1-like kinase, 2;NUAK2;;;
220651_s_at;g8924142;minichromosome maintenance complex component 10;MCM10;c3;DOWN;
220295_x_at;g8923327;DEP domain containing 1 /// similar to DEP domain ;DEPDC1 /// ;c3;DOWN;
;;containing 1;LOC730888;;;
220231_at;g5729859;chromosome 7 open reading frame 16;C7orf16;c3;DOWN;D
219544_at;g13376190;chromosome 13 open reading frame 34;C13orf34;c3;DOWN;
219464_at;g6912283;carbonic anhydrase XIV;CA14;c3;DOWN;
219169_s_at;g7705784;transcription factor B1, mitochondrial;TFB1M;c3;DOWN;
219036_at;g13346499;centrosomal protein 70kDa;CEP70;c3;DOWN;
219017_at;g10092614;ethanolamine kinase 1;ETNK1;c3;DOWN;
219002_at;g13375843;FAST kinase domains 1;FASTKD1;c3;DOWN;D
218973_at;g13375759;elongation factor Tu GTP binding domain containing 1;EFTUD1;c3;DOWN;
218710_at;g8923244;tetratricopeptide repeat domain 27;TTC27;c3;DOWN;
218653_at;g7657584;"solute carrier family 25 (mitochondrial carrier; ";SLC25A15;c3;DOWN;
;;ornithine transporter) member 15;;;;
218599_at;g9845292;REC8 homolog (yeast);REC8;c3;DOWN;
218575_at;g12056970;anaphase promoting complex subunit 1;ANAPC1;c3;DOWN;
218526_s_at;g7661825;RAN guanine nucleotide release factor;RANGNRF;c3;DOWN;
218480_at;g11141910;ATP/GTP binding protein-like 5;AGBL5;c3;DOWN;
218472_s_at;g7705599;pelota homolog (Drosophila);PELO;c3;DOWN;
218325_s_at;g13378138;death inducer-obliterator 1;DIDO1;c3;DOWN;D
218001_at;g7705804;mitochondrial ribosomal protein S2;MRPS2;c3;DOWN;
217960_s_at;g9910381;translocase of outer mitochondrial membrane 22 ;TOMM22;c3;DOWN;
;;homolog (yeast);;;;
217857_s_at;g4826971;RNA binding motif protein 8A;RBM8A;c3;DOWN;
217829_s_at;g5730024;ubiquitin specific peptidase 39;USP39;c3;DOWN;D
216952_s_at;Hs.76084.1;lamin B2;LMNB2;c3;DOWN;
216493_s_at;Hs.300813.0;insulin-like growth factor 2 mRNA binding protein 3 /// ;IGF2BP3 /// ;c3;DOWN;D
;;similar to insulin-like growth factor 2 mRNA binding ;LOC645468 /// ;;;
;;protein 3 /// similar to IGF-II mRNA-binding protein 3;LOC651107;;;
216262_s_at;Hs.94785.1;TGFB-induced factor homeobox 2;TGIF2;c3;DOWN;
215722_s_at;Hs.80506.2;small nuclear ribonucleoprotein polypeptide A';SNRPA1;c3;DOWN;
215509_s_at;Hs.194110.2;BUB1 budding uninhibited by benzimidazoles 1 ;BUB1;c3;DOWN;
;;homolog (yeast);;;;
215389_s_at;Hs.296865.1;troponin T type 2 (cardiac);TNNT2;c3;DOWN;
214895_s_at;Hs.172028.1;ADAM metallopeptidase domain 10;ADAM10;c3;DOWN;D
214835_s_at;Hs.247309.1;succinate-CoA ligase, GDP-forming, beta subunit;SUCLG2;c3;DOWN;
214526_x_at;Hs.323954.0;postmeiotic segregation increased 2-like 1;PMS2L1;c3;DOWN;
214390_s_at;Hs.157205.0;branched chain aminotransferase 1, cytosolic;BCAT1;c3;DOWN;
214283_at;Hs.4187.1;transmembrane protein 97;TMEM97;c3;DOWN;D
214112_s_at;Hs.82171.4;chromosome X open reading frame 40A /// ;CXorf40A /// ;c3;DOWN;
;;chromosome X open reading frame 40B;CXorf40B;;;
213916_at;Hs.110956.0;zinc finger protein 20;ZNF20;c3;DOWN;
213892_s_at;Hs.28914.1;adenine phosphoribosyltransferase;APRT;c3;DOWN;
213859_x_at;Hs.9456.1;SWI/SNF related, matrix associated, actin dependent ;SMARCA5;c3;DOWN;D
;;regulator of chromatin, subfamily a, member 5;;;;
213459_at;Hs.296290.0;ribosomal protein L37a;RPL37A;c3;DOWN;
213325_at;Hs.21201.0;poliovirus receptor-related 3;PVRL3;c3;DOWN;
213237_at;Hs.129061.0;similar to TSG118.1;LOC400506;c3;DOWN;
212949_at;Hs.1192.0;non-SMC condensin I complex, subunit H;NCAPH;c3;DOWN;
212816_s_at;Hs.84152.2;cystathionine-beta-synthase;CBS;c3;DOWN;
212789_at;Hs.13421.0;non-SMC condensin II complex, subunit D3;NCAPD3;c3;DOWN;
212693_at;Hs.76730.0;MDN1, midasin homolog (yeast);MDN1;c3;DOWN;D
212560_at;Hs.82845.0;chromosome 11 open reading frame 32;C11orf32;c3;DOWN;
211797_s_at;g1669493;nuclear transcription factor Y, gamma;NFYC;c3;DOWN;
211707_s_at;g13543280;IQ motif containing B1;IQCB1;c3;DOWN;
211574_s_at;g1256700;CD46 molecule, complement regulatory protein;CD46;c3;DOWN;
211115_x_at;g9650996;survival of motor neuron protein interacting protein 1;SIP1;c3;DOWN;D
210868_s_at;g12654918;ELOVL family member 6, elongation of long chain ;ELOVL6;c3;DOWN;
;;fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast);;;;
210685_s_at;g13516466;ubiquitination factor E4B (UFD2 homolog, yeast);UBE4B;c3;DOWN;D
210667_s_at;g1545814;chromosome 21 open reading frame 33;C21orf33;c3;DOWN;
209900_s_at;g7328161;solute carrier family 16, member 1 (monocarboxylic ;SLC16A1;c3;DOWN;
;;acid transporter 1);;;;
209891_at;g9963834;SPC25, NDC80 kinetochore complex component, ;SPC25;c3;DOWN;
;;homolog (S. cerevisiae);;;;
209825_s_at;g12804106;uridine-cytidine kinase 2;UCK2;c3;DOWN;
209739_s_at;Hs.264.0;patatin-like phospholipase domain containing 4;PNPLA4;c3;DOWN;
209723_at;g12803428;serpin peptidase inhibitor, clade B (ovalbumin), ;SERPINB9;c3;DOWN;D
;;member 9;;;;
209681_at;g5453325;solute carrier family 19 (thiamine transporter), ;SLC19A2;c3;DOWN;
;;member 2;;;;
209461_x_at;g12804480;WD repeat domain 18;WDR18;c3;DOWN;
209446_s_at;g12804636;chromosome 7 open reading frame 44;C7orf44;c3;DOWN;
209434_s_at;g404860;phosphoribosyl pyrophosphate amidotransferase;PPAT;c3;DOWN;
209298_s_at;g4808824;intersectin 1 (SH3 domain protein);ITSN1;c3;DOWN;
209098_s_at;g1438936;jagged 1 (Alagille syndrome);JAG1;c3;DOWN;D
209084_s_at;Hs.166563.0;RAB28, member RAS oncogene family;RAB28;c3;DOWN;
209081_s_at;Hs.78409.0;collagen, type XVIII, alpha 1;COL18A1;c3;DOWN;D
208930_s_at;Hs.256583.1;interleukin enhancer binding factor 3, 90kDa;ILF3;c3;DOWN;
208907_s_at;g13529220;mitochondrial ribosomal protein S18B;MRPS18B;c3;DOWN;
208878_s_at;g5138913;p21 (CDKN1A)-activated kinase 2;PAK2;c3;DOWN;
208793_x_at;Hs.78202.0;SWI/SNF related, matrix associated, actin dependent ;SMARCA4;c3;DOWN;
;;regulator of chromatin, subfamily a, member 4;;;;
208393_s_at;g5032016;RAD50 homolog (S. cerevisiae);RAD50;c3;DOWN;
208103_s_at;g13569878;acidic (leucine-rich) nuclear phosphoprotein 32 family, ;ANP32E;c3;DOWN;
;;member E;;;;
207654_x_at;g4503380;down-regulator of transcription 1, TBP-binding ;DR1;c3;DOWN;
;;(negative cofactor 2);;;;
207153_s_at;g5901949;glomulin, FKBP associated protein;GLMN;c3;DOWN;D
206875_s_at;g7661993;STE20-like kinase (yeast);SLK;c3;DOWN;D
206789_s_at;g4505956;POU domain, class 2, transcription factor 1;POU2F1;c3;DOWN;
206742_at;g4758377;c-fos induced growth factor (vascular endothelial ;FIGF;c3;DOWN;D
;;growth factor D);;;;
206689_x_at;g5454127;HIV-1 Tat interacting protein, 60kDa;HTATIP;c3;DOWN;D
206601_s_at;g13477300;homeobox D3;HOXD3;c3;DOWN;D
206572_x_at;g4508038;zinc finger protein 85;ZNF85;c3;DOWN;
206550_s_at;g4758843;nucleoporin 155kDa;NUP155;c3;DOWN;
206506_s_at;g4507308;suppressor of Ty 3 homolog (S. cerevisiae);SUPT3H;c3;DOWN;D
206499_s_at;g4502800;regulator of chromosome condensation 1;RCC1 /// ;c3;DOWN;
;;;SNHG3-RCC1;;;
206424_at;g4503206;cytochrome P450, family 26, subfamily A, polypeptide 1;CYP26A1;c3;DOWN;
206383_s_at;g7110662;GTPase activating protein (SH3 domain) binding ;G3BP2;c3;DOWN;
;;protein 2;;;;
206023_at;g5729946;neuromedin U;NMU;c3;DOWN;
205995_x_at;g7661875;IQ motif containing B1;IQCB1;c3;DOWN;
205909_at;g4505934;polymerase (DNA directed), epsilon 2 (p59 subunit);POLE2;c3;DOWN;
205883_at;g5174752;zinc finger and BTB domain containing 16;ZBTB16;c3;DOWN;D
205862_at;g7662187;GREB1 protein;GREB1;c3;DOWN;
205763_s_at;g13787205;DEAD (Asp-Glu-Ala-Asp) box polypeptide 18;DDX18;c3;DOWN;
205589_at;g4557776;"myosin, light chain 3, alkali; ventricular, skeletal, slow";MYL3;c3;DOWN;
205588_s_at;g5901953;FGFR1 oncogene partner;FGFR1OP;c3;DOWN;
205401_at;g4501992;alkylglycerone phosphate synthase;AGPS;c3;DOWN;
205395_s_at;g5031920;MRE11 meiotic recombination 11 homolog A ;MRE11A;c3;DOWN;
;;(S. cerevisiae);;;;
205235_s_at;g7705347;M-phase phosphoprotein 1;MPHOSPH1;c3;DOWN;
205167_s_at;g12408659;cell division cycle 25 homolog C (S. pombe);CDC25C;c3;DOWN;
205063_at;g4506960;survival of motor neuron protein interacting protein 1;SIP1;c3;DOWN;D
205061_s_at;g4826921;exosome component 9;EXOSC9;c3;DOWN;
204983_s_at;g3420276;glypican 4;GPC4;c3;DOWN;D
204866_at;g7662005;PHD finger protein 16;PHF16;c3;DOWN;
204649_at;g4885624;trophinin associated protein (tastin);TROAP;c3;DOWN;
204641_at;g4505372;NIMA (never in mitosis gene a)-related kinase 2;NEK2;c3;DOWN;
204603_at;g4504368;exonuclease 1;EXO1;c3;DOWN;
204483_at;g4503572;enolase 3 (beta, muscle);ENO3;c3;DOWN;
204441_s_at;g4505928;polymerase (DNA directed), alpha 2 (70kD subunit);POLA2;c3;DOWN;
204354_at;g13123773;POT1 protection of telomeres 1 homolog (S. pombe);POT1;c3;DOWN;
204294_at;g4502082;aminomethyltransferase;AMT;c3;DOWN;
204215_at;g13236556;chromosome 7 open reading frame 23;C7orf23;c3;DOWN;
204087_s_at;g10863878;solute carrier family 5 (sodium-dependent vitamin ;SLC5A6;c3;DOWN;
;;transporter), member 6;;;;
204004_at;Hs.176090.0;PRKC, apoptosis, WT1, regulator;PAWR;c3;DOWN;D
203905_at;g4505610;poly(A)-specific ribonuclease (deadenylation nuclease);PARN;c3;DOWN;
203860_at;g4557832;propionyl Coenzyme A carboxylase, alpha polypeptide;PCCA;c3;DOWN;
203802_x_at;g8922321;NOL1/NOP2/Sun domain family, member 5;NSUN5;c3;DOWN;
203735_x_at;Hs.133207.0;PTPRF interacting protein, binding protein 1 ;PPFIBP1;c3;DOWN;
;;(liprin beta 1);;;;
203712_at;g7661865;KIAA0020;KIAA0020;c3;DOWN;
203664_s_at;g4758573;polymerase (RNA) II (DNA directed) polypeptide D;POLR2D;c3;DOWN;
203576_at;g4502374;branched chain aminotransferase 2, mitochondrial;BCAT2;c3;DOWN;
203374_s_at;Hs.1117.0;tripeptidyl peptidase II;TPP2;c3;DOWN;
203210_s_at;g6677722;replication factor C (activator 1) 5, 36.5kDa;RFC5;c3;DOWN;
203177_x_at;g4507400;transcription factor A, mitochondrial;TFAM;c3;DOWN;
203126_at;g7657235;inositol(myo)-1(or 4)-monophosphatase 2;IMPA2;c3;DOWN;
202979_s_at;g10864024;CREB/ATF bZIP transcription factor;CREBZF;c3;DOWN;
202978_s_at;Hs.29417.0;CREB/ATF bZIP transcription factor;CREBZF;c3;DOWN;
202816_s_at;Hs.153221.0;synovial sarcoma translocation, chromosome 18;SS18;c3;DOWN;
202733_at;g4758867;procollagen-proline, 2-oxoglutarate 4-dioxygenase ;P4HA2;c3;DOWN;
;;(proline 4-hydroxylase), alpha polypeptide II;;;;
202726_at;g4557718;ligase I, DNA, ATP-dependent;LIG1;c3;DOWN;D
202706_s_at;g2081619;uridine monophosphate synthetase (orotate ;UMPS;c3;DOWN;
;;phosphoribosyl transferase and orotidine-5'-decarboxylase);;;;
202240_at;g4826915;polo-like kinase 1 (Drosophila);PLK1;c3;DOWN;
202094_at;Hs.1578.0;baculoviral IAP repeat-containing 5 (survivin);BIRC5;c3;DOWN;D
201940_at;Hs.5057.0;carboxypeptidase D;CPD;c3;DOWN;
201929_s_at;g6806894;plakophilin 4;PKP4;c3;DOWN;
201755_at;g6981191;minichromosome maintenance complex component 5;MCM5;c3;DOWN;
201678_s_at;g9910181;chromosome 3 open reading frame 37;C3orf37;c3;DOWN;
201633_s_at;Hs.79103.0;cytochrome b5 type B (outer mitochondrial membrane);CYB5B;c3;DOWN;
201573_s_at;g338686;eukaryotic translation termination factor 1;ETF1;c3;DOWN;
201157_s_at;Hs.111039.0;N-myristoyltransferase 1;NMT1;c3;DOWN;
200905_x_at;g5031744;major histocompatibility complex, class I, E;HLA-E;c3;DOWN;
200770_s_at;g186916;laminin, gamma 1 (formerly LAMB2);LAMC1;c3;DOWN;D
200672_x_at;g4507194;spectrin, beta, non-erythrocytic 1;SPTBN1;c3;DOWN;
1568678_s_at;Hs2.398141.1;FGFR1 oncogene partner;FGFR1OP;c3;DOWN;
1559156_at;Hs2.396180.1;"MRNA; cDNA DKFZp686B1142 (from clone ";---;c3;DOWN;
;;DKFZp686B1142);;;;
1557918_s_at;Hs2.407205.1;solute carrier family 16, member 1 ;SLC16A1;c3;DOWN;
;;(monocarboxylic acid transporter 1);;;;
1557051_s_at;Hs2.101064.1;Homeobox A2;HOXA2;c3;DOWN;D
1556988_s_at;Hs2.407398.1;chromodomain helicase DNA binding protein 1-like;CHD1L;c3;DOWN;
1556551_s_at;Hs2.399943.1;solute carrier family 39 (zinc transporter), member 6;SLC39A6;c3;DOWN;
1555971_s_at;Hs2.422333.1;F-box protein 28;FBXO28;c3;DOWN;
1554239_s_at;Hs2.424973.1;zinc binding alcohol dehydrogenase, domain containing 2;ZADH2;c3;DOWN;
1553694_a_at;Hs2.249235.1;phosphoinositide-3-kinase, class 2, alpha polypeptide;PIK3C2A;c3;DOWN;
241803_s_at;Hs.144864.0;---;---;c4;DOWN;
239752_at;Hs.231895.0;CDNA FLJ38271 fis, clone FCBBF3002782, ;---;c4;DOWN;
;;moderately similar to Leptin receptor;;;;
239710_at;Hs.99283.0;Transcribed locus;---;c4;DOWN;
237491_at;Hs.16355.0;---;---;c4;DOWN;
235004_at;Hs.201619.0;RNA binding motif protein 24;RBM24;c4;DOWN;
232985_s_at;Hs.9536.1;developmental pluripotency associated 4;DPPA4;c4;DOWN;
231310_at;Hs.113170.0;Transcribed locus;---;c4;DOWN;
230964_at;Hs.15020.0;FRAS1 related extracellular matrix protein 2;FREM2;c4;DOWN;D
228854_at;Hs.117176.2;Transcribed locus;---;c4;DOWN;
228824_s_at;Hs.114670.0;leukotriene B4 12-hydroxydehydrogenase;LTB4DH;c4;DOWN;
228642_at;Hs.101064.1;Homeobox A2;HOXA2;c4;DOWN;D
228415_at;Hs.40368.2;---;---;c4;DOWN;
227048_at;Hs.48659.0;laminin, alpha 1;LAMA1;c4;DOWN;D
226817_at;Hs.95612.0;desmocollin 2;DSC2;c4;DOWN;
226223_at;Hs.42683.0;Transcribed locus;---;c4;DOWN;
225439_at;Hs.195870.0;NudC domain containing 1;NUDCD1;c4;DOWN;
225230_at;Hs.125031.1;transmembrane protein 77;TMEM77;c4;DOWN;
225081_s_at;Hs.16520.0;cell division cycle associated 7-like;CDCA7L;c4;DOWN;
224840_at;Hs.7557.1;FK506 binding protein 5;FKBP5;c4;DOWN;
224609_at;Hs.105509.1;solute carrier family 44, member 2;SLC44A2;c4;DOWN;
224583_at;Hs.289092.0;coactosin-like 1 (Dictyostelium);COTL1;c4;DOWN;
223673_at;g13272521;regulatory factor X, 4 (influences HLA class II ;RFX4;c4;DOWN;
;;expression);;;;
223311_s_at;g13278950;metastasis associated 1 family, member 3;MTA3;c4;DOWN;
223172_s_at;g12001985;mitochondrial protein 18 kDa;MTP18;c4;DOWN;D
222406_s_at;Hs.7862.0;proline-rich nuclear receptor coactivator 2;PNRC2;c4;DOWN;
222393_s_at;Hs.288932.0;N-acetyltransferase 13;NAT13;c4;DOWN;
220892_s_at;g10863954;phosphoserine aminotransferase 1;PSAT1;c4;DOWN;
218617_at;g8923064;tRNA isopentenyltransferase 1;TRIT1;c4;DOWN;
218594_at;g8922377;HEAT repeat containing 1;HEATR1;c4;DOWN;
218156_s_at;g8922495;TSR1, 20S rRNA accumulation, homolog (S. cerevisiae);TSR1;c4;DOWN;
218102_at;g7705717;2-deoxyribose-5-phosphate aldolase homolog (C. elegans);DERA;c4;DOWN;
217901_at;Hs.2631.0;Desmoglein 2;DSG2;c4;DOWN;
216977_x_at;Hs.80506.3;small nuclear ribonucleoprotein polypeptide A';SNRPA1;c4;DOWN;
214452_at;Hs.157205.1;branched chain aminotransferase 1, cytosolic;BCAT1;c4;DOWN;
214437_s_at;Hs.75069.0;serine hydroxymethyltransferase 2 (mitochondrial);SHMT2;c4;DOWN;
213721_at;Hs.816.0;SRY (sex determining region Y)-box 2;SOX2;c4;DOWN;D
213322_at;Hs.183056.0;chromosome 6 open reading frame 130;C6orf130;c4;DOWN;
212812_at;Hs.288232.0;CDNA: FLJ22642 fis, clone HSI06970;---;c4;DOWN;
212627_s_at;Hs.182877.0;exosome component 7;EXOSC7;c4;DOWN;
211519_s_at;g13432054;kinesin family member 2C;KIF2C;c4;DOWN;
210281_s_at;g12052767;zinc finger, MYM-type 2;ZMYM2;c4;DOWN;
209709_s_at;g2959555;hyaluronan-mediated motility receptor (RHAMM);HMMR;c4;DOWN;
209642_at;g6970210;BUB1 budding uninhibited by benzimidazoles 1 ;BUB1;c4;DOWN;
;;homolog (yeast);;;;
209464_at;g5688865;aurora kinase B;AURKB;c4;DOWN;
209445_x_at;Hs.8173.1;chromosome 7 open reading frame 44;C7orf44;c4;DOWN;
209157_at;g2352903;DnaJ (Hsp40) homolog, subfamily A, member 2;DNAJA2;c4;DOWN;
209053_s_at;Hs.110457.3;Wolf-Hirschhorn syndrome candidate 1;WHSC1;c4;DOWN;D
209008_x_at;g1673574;keratin 8;KRT8;c4;DOWN;
208097_s_at;g13559515;thioredoxin domain containing 1;TXNDC1;c4;DOWN;D
205053_at;g4506050;primase, polypeptide 1, 49kDa;PRIM1;c4;DOWN;
204500_s_at;g7662451;ATP/GTP binding protein 1;AGTPBP1;c4;DOWN;
204271_s_at;g182275;endothelin receptor type B;EDNRB;c4;DOWN;D
204201_s_at;g5453991;protein tyrosine phosphatase, non-receptor type 13 ;PTPN13;c4;DOWN;
;;(APO-1/CD95 (Fas)-associated phosphatase);;;;
204143_s_at;g8923790;enolase superfamily member 1;ENOSF1;c4;DOWN;
204092_s_at;g4507274;aurora kinase A;AURKA;c4;DOWN;
204044_at;g9257236;quinolinate phosphoribosyltransferase (nicotinate-;QPRT;c4;DOWN;
;;nucleotide pyrophosphorylase (carboxylating));;;;
203588_s_at;Hs.19131.0;transcription factor Dp-2 (E2F dimerization partner 2);TFDP2;c4;DOWN;
202934_at;Hs.198427.0;hexokinase 2;HK2;c4;DOWN;
202883_s_at;Hs.108705.0;protein phosphatase 2 (formerly 2A), regulatory ;PPP2R1B;c4;DOWN;D
;;subunit A, beta isoform;;;;
202710_at;g12654162;BET1 homolog (S. cerevisiae);BET1;c4;DOWN;
202179_at;g4557366;bleomycin hydrolase;BLMH;c4;DOWN;
202167_s_at;g13375625;MMS19-like (MET18 homolog, S. cerevisiae);MMS19L;c4;DOWN;
202022_at;g4885062;aldolase C, fructose-bisphosphate;ALDOC;c4;DOWN;
201578_at;g4885556;podocalyxin-like;PODXL;c4;DOWN;
201259_s_at;Hs.80919.0;synaptophysin-like 1;SYPL1;c4;DOWN;
1554627_a_at;Hs2.121599.2;activating signal cointegrator 1 complex subunit 1;ASCC1;c4;DOWN;
1554365_a_at;Hs2.171734.2;protein phosphatase 2, regulatory subunit B', ;PPP2R5C;c4;DOWN;
;;gamma isoform;;;;
1553972_a_at;Hs2.84152.2;cystathionine-beta-synthase;CBS;c4;DOWN;
48808_at;4878663_RC;dihydrofolate reductase;DHFR;c5;DOWN;
236126_at;Hs.42302.0;activin A receptor, type IIB;ACVR2B;c5;DOWN;D
234672_s_at;Hs.30738.1;transmembrane protein 48;TMEM48;c5;DOWN;D
234107_s_at;Hs.306024.2;D-tyrosyl-tRNA deacylase 1 homolog (S. cerevisiae);DTD1;c5;DOWN;
228183_s_at;Hs.78614.2;RPA interacting protein;RPAIN;c5;DOWN;
227680_at;Hs.72087.0;zinc finger protein 326;ZNF326;c5;DOWN;
226936_at;Hs.35962.0;chromosome 6 open reading frame 173;C6orf173;c5;DOWN;
226797_at;Hs.106148.0;"MRNA; cDNA DKFZp434G0972 (from clone ";---;c5;DOWN;
;;DKFZp434G0972);;;;
226336_at;Hs.182937.3;peptidylprolyl isomerase A (cyclophilin A);PPIA;c5;DOWN;
225852_at;Hs.250528.0;ankyrin repeat domain 17;ANKRD17;c5;DOWN;
225806_at;Hs.64552.0;jub, ajuba homolog (Xenopus laevis);JUB;c5;DOWN;
225687_at;Hs.70704.0;family with sequence similarity 83, member D;FAM83D;c5;DOWN;
225336_at;Hs.288036.4;splicing factor, arginine/serine-rich 2, interacting protein;SFRS2IP;c5;DOWN;D
225309_at;Hs.273234.0;PHD finger protein 5A;PHF5A;c5;DOWN;
224971_at;Hs.12094.2;mitochondrial ribosomal protein L30;MRPL30;c5;DOWN;
224782_at;Hs.250655.3;zinc finger, matrin type 2;ZMAT2;c5;DOWN;
224666_at;Hs.284295.0;non-SMC element 1 homolog (S. cerevisiae);NSMCE1;c5;DOWN;
224448_s_at;g13543714;chromosome 6 open reading frame 125;C6orf125;c5;DOWN;
223988_x_at;g13477182;methyltransferase 11 domain containing 1 /// similar ;LOC731602 /// ;c5;DOWN;
;;to methyltransferase 11 domain containing 1 isoform 2;METT11D1;;;
223295_s_at;Hs.16803.2;LUC7-like (S. cerevisiae);LUC7L;c5;DOWN;D
223234_at;g6642734;MAD2 mitotic arrest deficient-like 2 (yeast);MAD2L2;c5;DOWN;
222996_s_at;g12803342;CXXC finger 5;CXXC5;c5;DOWN;
222771_s_at;Hs.44268.0;myelin expression factor 2;MYEF2;c5;DOWN;D
222464_s_at;g13278833;chromosome 10 open reading frame 119;C10orf119;c5;DOWN;
222040_at;Hs.249495.4;heterogeneous nuclear ribonucleoprotein A1 /// ;HNRPA1 /// ;c5;DOWN;
;;hypothetical protein LOC728844 /// ;LOC728844 /// ;;;
;;hypothetical protein LOC731172;LOC731172;;;
219978_s_at;g8922094;nucleolar and spindle associated protein 1;NUSAP1;c5;DOWN;
219306_at;g9910265;kinesin family member 15;KIF15;c5;DOWN;
219148_at;g8923876;PDZ binding kinase;PBK;c5;DOWN;
219105_x_at;g7657426;origin recognition complex, subunit 6 like (yeast);ORC6L;c5;DOWN;
218757_s_at;g12711673;UPF3 regulator of nonsense transcripts homolog B ;UPF3B;c5;DOWN;
;;(yeast);;;;
218755_at;g5032012;kinesin family member 20A;KIF20A;c5;DOWN;
218683_at;g10863996;polypyrimidine tract binding protein 2;PTBP2;c5;DOWN;D
218662_s_at;g11641252;non-SMC condensin I complex, subunit G;NCAPG;c5;DOWN;
218515_at;g7706175;chromosome 21 open reading frame 66;C21orf66;c5;DOWN;
218445_at;g8923919;H2A histone family, member Y2;H2AFY2;c5;DOWN;D
218167_at;g7706167;archaemetzincins-2;AMZ2;c5;DOWN;
217872_at;g8923597;PIH1 domain containing 1;PIH1D1;c5;DOWN;
217850_at;g7657047;guanine nucleotide binding protein-like 3 (nucleolar);GNL3;c5;DOWN;
215416_s_at;Hs.3439.1;stomatin (EPB72)-like 2;STOML2;c5;DOWN;
214431_at;Hs.5398.0;guanine monphosphate synthetase;GMPS;c5;DOWN;
214173_x_at;Hs.7943.3;chromosome 19 open reading frame 2;C19orf2;c5;DOWN;
213283_s_at;Hs.79971.0;sal-like 2 (Drosophila);SALL2;c5;DOWN;
212964_at;Hs.109445.0;hypermethylated in cancer 2;HIC2;c5;DOWN;
212624_s_at;Hs.169965.1;chimerin (chimaerin) 1;CHN1;c5;DOWN;
212622_at;Hs.174905.0;transmembrane protein 41B;TMEM41B;c5;DOWN;
212447_at;Hs.20237.1;kelch repeat and BTB (POZ) domain containing 2;KBTBD2;c5;DOWN;
212247_at;Hs.84790.0;nucleoporin 205kDa;NUP205;c5;DOWN;D
212232_at;Hs.6834.0;formin binding protein 4;FNBP4;c5;DOWN;
212167_s_at;Hs.159971.2;SWI/SNF related, matrix associated, actin dependent ;SMARCB1;c5;DOWN;
;;regulator of chromatin, subfamily b, member 1;;;;
212145_at;Hs.122669.0;mitochondrial ribosomal protein S27;MRPS27;c5;DOWN;
210933_s_at;g13436196;fascin homolog 1, actin-bundling protein ;FSCN1;c5;DOWN;
;;(Strongylocentrotus purpuratus);;;;
210178_x_at;g2961148;FUS interacting protein (serine/arginine-rich) 1 /// ;FUSIP1 ///;c5;DOWN;D
;;similar to FUS-interacting serine-arginine-rich protein 1 ;LOC727922;;;
;;(TLS-associated protein with Ser-Arg repeats) ;;;;
;;(TLS-associated protein with SR repeats) (TASR) ;;;;
;;(TLS-associated serine-arginine protein) ;;;;
;;(TLS-associated SR protein) (Neural-specific SR protein...;;;;
209440_at;g12804406;phosphoribosyl pyrophosphate synthetase 1;PRPS1;c5;DOWN;D
209408_at;g1695881;kinesin family member 2C;KIF2C;c5;DOWN;
209205_s_at;g13097818;LIM domain only 4;LMO4;c5;DOWN;D
209139_s_at;g4927415;protein kinase, interferon-inducible double stranded ;PRKRA;c5;DOWN;D
;;RNA dependent activator;;;;
208951_at;g12803386;aldehyde dehydrogenase 7 family, member A1;ALDH7A1;c5;DOWN;
208892_s_at;g13111942;dual specificity phosphatase 6;DUSP6;c5;DOWN;
208749_x_at;g5114048;flotillin 1;FLOT1;c5;DOWN;
208702_x_at;Hs.279518.1;amyloid beta (A4) precursor-like protein 2;APLP2;c5;DOWN;
208677_s_at;Hs.74631.0;basigin (Ok blood group);BSG;c5;DOWN;
207983_s_at;g5730068;stromal antigen 2;STAG2;c5;DOWN;
207483_s_at;g8924259;cullin-associated and neddylation-dissociated 1;CAND1;c5;DOWN;D
207165_at;g7108350;hyaluronan-mediated motility receptor (RHAMM);HMMR;c5;DOWN;
206245_s_at;g5453803;influenza virus NS1A binding protein;IVNS1ABP;c5;DOWN;
206102_at;g10800147;GINS complex subunit 1 (Psf1 homolog);GINS1;c5;DOWN;
